col0,col1
0,7778
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,6110
19,4275
20,20
21,21
22,22
23,23
24,24
25,25
26,6159
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,3712
43,43
44,7298
45,9645
46,46
47,47
48,7976
49,49
50,50
51,51
52,52
53,1917
54,54
55,2276
56,56
57,57
58,9707
59,59
60,60
61,61
62,62
63,6901
64,1735
65,4339
66,66
67,67
68,68
69,69
70,8159
71,71
72,72
73,73
74,74
75,75
76,76
77,5356
78,3007
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,7764
88,88
89,5869
90,90
91,91
92,92
93,93
94,2063
95,95
96,96
97,7462
98,98
99,99
100,4053
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,8913
109,109
110,9514
111,111
112,112
113,113
114,6458
115,115
116,116
117,117
118,118
119,6769
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,587
133,133
134,134
135,5326
136,136
137,137
138,9544
139,139
140,140
141,2884
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,1802
151,151
152,152
153,153
154,154
155,155
156,2746
157,157
158,158
159,159
160,160
161,161
162,8702
163,163
164,7591
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,3166
173,173
174,174
175,3392
176,176
177,7895
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,4515
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,5191
195,195
196,196
197,1254
198,198
199,199
200,200
201,201
202,202
203,9701
204,1023
205,205
206,206
207,5681
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,2408
216,216
217,2248
218,2081
219,219
220,220
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,231
232,232
233,233
234,234
235,235
236,236
237,237
238,238
239,9511
240,240
241,5610
242,242
243,243
244,244
245,245
246,246
247,247
248,248
249,249
250,250
251,251
252,4149
253,253
254,254
255,255
256,256
257,257
258,258
259,259
260,260
261,261
262,262
263,8897
264,7884
265,265
266,266
267,267
268,268
269,5792
270,9120
271,271
272,272
273,273
274,8598
275,275
276,5643
277,277
278,278
279,279
280,280
281,281
282,282
283,283
284,4468
285,285
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,9378
306,1858
307,307
308,308
309,7118
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,8287
321,321
322,322
323,323
324,7358
325,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,5811
337,337
338,338
339,339
340,704
341,1688
342,342
343,9763
344,344
345,7704
346,346
347,347
348,5948
349,349
350,350
351,635
352,352
353,353
354,354
355,355
356,356
357,357
358,8652
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,3939
370,370
371,371
372,372
373,373
374,374
375,3796
376,376
377,377
378,378
379,379
380,380
381,381
382,382
383,383
384,5487
385,385
386,6773
387,387
388,190
389,3285
390,1159
391,391
392,392
393,393
394,394
395,395
396,4091
397,397
398,398
399,399
400,400
401,401
402,402
403,403
404,404
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,6498
414,414
415,415
416,416
417,417
418,418
419,419
420,420
421,421
422,422
423,4296
424,424
425,4703
426,426
427,427
428,428
429,429
430,9619
431,431
432,432
433,433
434,434
435,435
436,436
437,437
438,3192
439,439
440,8050
441,441
442,442
443,443
444,552
445,445
446,1945
447,4478
448,448
449,449
450,450
451,6785
452,452
453,453
454,454
455,3189
456,456
457,457
458,458
459,810
460,460
461,4051
462,462
463,463
464,464
465,465
466,466
467,6701
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,476
477,477
478,478
479,479
480,480
481,481
482,482
483,2378
484,484
485,2154
486,486
487,487
488,488
489,489
490,490
491,2984
492,7873
493,1692
494,494
495,4867
496,496
497,497
498,9488
499,499
500,500
501,501
502,502
503,503
504,504
505,1862
506,506
507,8911
508,508
509,509
510,510
511,511
512,512
513,513
514,514
515,515
516,516
517,517
518,518
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,530
531,531
532,472
533,533
534,7767
535,535
536,536
537,537
538,538
539,8593
540,540
541,4608
542,542
543,1433
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,6854
555,555
556,556
557,557
558,9934
559,559
560,560
561,561
562,562
563,563
564,564
565,565
566,566
567,567
568,568
569,5471
570,570
571,8448
572,572
573,573
574,574
575,575
576,576
577,6539
578,578
579,579
580,8308
581,581
582,582
583,583
584,584
585,6989
586,586
587,587
588,588
589,589
590,590
591,591
592,592
593,593
594,8583
595,595
596,462
597,2095
598,598
599,599
600,600
601,4402
602,602
603,603
604,604
605,605
606,606
607,607
608,608
609,9918
610,610
611,611
612,612
613,613
614,614
615,8287
616,616
617,617
618,3525
619,619
620,620
621,621
622,622
623,623
624,2679
625,625
626,626
627,627
628,8630
629,7403
630,630
631,631
632,6050
633,633
634,4609
635,5485
636,636
637,637
638,5335
639,3989
640,8125
641,2288
642,642
643,643
644,326
645,645
646,646
647,647
648,648
649,649
650,1589
651,651
652,652
653,7695
654,3022
655,7779
656,656
657,657
658,658
659,8490
660,660
661,661
662,662
663,663
664,664
665,665
666,666
667,667
668,668
669,669
670,6996
671,868
672,672
673,673
674,674
675,675
676,7243
677,677
678,9494
679,679
680,680
681,681
682,682
683,683
684,684
685,685
686,686
687,687
688,688
689,689
690,690
691,691
692,692
693,693
694,694
695,695
696,696
697,697
698,698
699,699
700,8660
701,701
702,7668
703,703
704,704
705,705
706,706
707,707
708,708
709,709
710,710
711,711
712,712
713,713
714,714
715,715
716,101
717,717
718,718
719,719
720,720
721,721
722,722
723,3125
724,213
725,725
726,726
727,727
728,728
729,729
730,730
731,731
732,732
733,733
734,734
735,735
736,736
737,737
738,738
739,739
740,740
741,741
742,742
743,743
744,744
745,745
746,746
747,747
748,5094
749,749
750,5665
751,751
752,752
753,753
754,754
755,755
756,756
757,757
758,758
759,759
760,760
761,4647
762,762
