query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<3471 AND cdcs.col1=4498;,1",1.0,1,8.113931864500046,0,0.0
1,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<9399 AND cdcs.col1<8007;,84215",84227.49514321289,84215,8.580856025218964,0,0.0
2,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<6199 AND cdcs.col1>7688;,3171",3156.5478260869177,3171,7.680455222725868,0,0.0
3,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>7379 AND cdcs.col1<819;,308",294.9216373607741,308,6.644999608397484,0,0.0
4,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<9611 AND cdcs.col1<5393;,59385",59416.26487240822,59385,8.387133479118347,0,0.0
5,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>7977 AND cdcs.col1>6382;,12556",12558.506726940064,12556,6.970331072807312,0,0.0
6,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>9940 AND cdcs.col1>7232;,187",189.60717703349323,187,6.556330248713493,0,0.0
7,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<1923 AND cdcs.col1=804;,10",9.999999999999986,10,7.834149524569511,0,0.0
8,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>2386 AND cdcs.col1<7440;,52796",52803.255984433206,52796,8.133484050631523,0,0.0
9,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>1122 AND cdcs.col1<118;,192",188.32941176470575,192,7.595384493470192,0,0.0
10,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>8594 AND cdcs.col1>637;,9204",9256.754461845809,9204,7.621748372912407,0,0.0
11,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0=5859 AND cdcs.col1>3279;,7",6.999999999999978,7,8.395399898290634,0,0.0
12,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>4819 AND cdcs.col1>6780;,22997",23008.53046171233,22997,7.233520969748497,0,0.0
13,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0=1846 AND cdcs.col1<3195;,11",11.000000000000016,11,7.576365023851395,0,0.0
14,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>4501 AND cdcs.col1=8075;,7",6.375770020533881,7,8.244473487138748,0,0.0
15,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>4397 AND cdcs.col1>1551;,47772",47772.79415697555,47772,7.896635681390762,0,0.0
16,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>3517 AND cdcs.col1>9953;,172",173.57084188911685,172,7.021356374025345,0,0.0
17,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0=9770 AND cdcs.col1>1874;,7",7.000000000000016,7,8.429385721683502,0,0.0
18,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>2330 AND cdcs.col1>6775;,24848",24847.412054864555,24848,7.577914744615555,0,0.0
19,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>4420 AND cdcs.col1=2835;,1",1.0,1,7.941041141748428,0,0.0
20,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<1150 AND cdcs.col1=1656;,2",1.9999999999999991,2,7.4155498296022415,0,0.0
21,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<1630 AND cdcs.col1=4146;,1",1.0,1,7.423592731356621,0,0.0
22,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0<7176 AND cdcs.col1<5764;,60888",60894.45902716911,60888,7.8255850821733475,0,0.0
23,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>16 AND cdcs.col1<7572;,80636",80635.06261905325,80636,8.602973073720932,0,0.0
24,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0=8097 AND cdcs.col1<9837;,4",4.679012345679005,4,8.944390341639519,0,0.0
25,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_8_skew_2 cdcs WHERE cdcs.col0>3527 AND cdcs.col1<6150;,29185",29187.52928619094,29185,8.043283596634865,0,0.0
